Tournament,Stage,Match Type,Match Name,Map,Team A,Team A Score,Team A Attacker Score,Team A Defender Score,Team A Overtime Score,Team B,Team B Score,Team B Attacker Score,Team B Defender Score,Team B Overtime Score,Duration
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 3,T1 vs DRX,Fracture,T1,13,5,8,,DRX,11,4,7,,1:04:03
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 3,T1 vs DRX,Pearl,T1,13,8,5,,DRX,4,0,4,,39:01
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 3,G2 Esports vs Team Liquid,Haven,G2 Esports,13,8,5,,Team Liquid,5,1,4,,48:57
Champions Tour 2025: Masters Bangkok,Swiss Stage,Round 3,G2 Esports vs Team Liquid,Lotus,G2 Esports,13,6,7,,Team Liquid,7,1,6,,46:11
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Semifinals,EDward Gaming vs T1,Split,EDward Gaming,13,10,3,,T1,7,5,2,,55:34
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Semifinals,EDward Gaming vs T1,Bind,EDward Gaming,6,5,1,,T1,13,6,7,,43:41
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Semifinals,EDward Gaming vs T1,Pearl,EDward Gaming,13,6,7,,T1,11,5,6,,1:01:00
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Semifinals,Team Vitality vs G2 Esports,Bind,Team Vitality,13,7,5,1,G2 Esports,15,7,5,3,1:13:06
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Semifinals,Team Vitality vs G2 Esports,Lotus,Team Vitality,9,6,3,,G2 Esports,13,7,6,,54:57
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Final,EDward Gaming vs G2 Esports,Lotus,EDward Gaming,8,5,3,,G2 Esports,13,6,7,,57:16
Champions Tour 2025: Masters Bangkok,Playoffs,Upper Final,EDward Gaming vs G2 Esports,Split,EDward Gaming,7,4,3,,G2 Esports,13,5,8,,41:45
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Round 1,T1 vs Team Vitality,Lotus,T1,12,8,4,0,Team Vitality,14,8,4,2,1:09:37
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Round 1,T1 vs Team Vitality,Haven,T1,13,8,5,,Team Vitality,4,0,4,,36:14
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Round 1,T1 vs Team Vitality,Split,T1,13,9,4,,Team Vitality,5,2,3,,42:08
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Final,EDward Gaming vs T1,Bind,EDward Gaming,4,3,1,,T1,13,4,9,,34:49
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Final,EDward Gaming vs T1,Haven,EDward Gaming,10,8,2,,T1,13,9,4,,47:05
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Final,EDward Gaming vs T1,Fracture,EDward Gaming,14,7,5,2,T1,12,7,5,0,53:33
Champions Tour 2025: Masters Bangkok,Playoffs,Lower Final,EDward Gaming vs T1,Split,EDward Gaming,5,5,0,,T1,13,6,7,,42:09
Champions Tour 2025: Masters Bangkok,Showmatch,Main Event,Team International vs Team Thailand,Ascent,Team International,9,6,3,,Team Thailand,13,7,6,,
Champions Tour 2025: Masters Bangkok,Playoffs,Grand Final,G2 Esports vs T1,Lotus,G2 Esports,13,8,5,,T1,5,1,4,,55:22
Champions Tour 2025: Masters Bangkok,Playoffs,Grand Final,G2 Esports vs T1,Haven,G2 Esports,9,6,3,,T1,13,7,6,,52:45
Champions Tour 2025: Masters Bangkok,Playoffs,Grand Final,G2 Esports vs T1,Abyss,G2 Esports,13,4,9,,T1,11,3,8,,47:08
Champions Tour 2025: Masters Bangkok,Playoffs,Grand Final,G2 Esports vs T1,Split,G2 Esports,13,8,4,1,T1,15,8,4,3,1:04:07
Champions Tour 2025: Masters Bangkok,Playoffs,Grand Final,G2 Esports vs T1,Pearl,G2 Esports,14,4,8,2,T1,16,4,8,4,1:11:01
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Lotus,BBL Esports,13,6,7,,GIANTX,9,3,6,,1:05:24
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Haven,BBL Esports,12,5,7,0,GIANTX,14,5,7,2,1:02:21
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,BBL Esports vs GIANTX,Pearl,BBL Esports,13,7,6,,GIANTX,5,0,5,,43:41
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Abyss,Karmine Corp,10,7,3,,Natus Vincere,13,8,5,,1:09:50
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Bind,Karmine Corp,13,10,3,,Natus Vincere,2,0,2,,37:51
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Karmine Corp vs Natus Vincere,Lotus,Karmine Corp,13,7,6,,Natus Vincere,6,1,5,,51:52
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Fracture,Team Liquid,10,5,5,,KOI,13,6,7,,58:08
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Abyss,Team Liquid,13,11,2,,KOI,3,2,1,,36:44
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Team Liquid vs KOI,Bind,Team Liquid,13,6,7,,KOI,10,4,6,,52:51
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Pearl,Apeks,7,6,1,,Gentle Mates,13,7,6,,51:40
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Round 1,Apeks vs Gentle Mates,Haven,Apeks,12,3,9,0,Gentle Mates,14,3,9,2,55:55
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Abyss,FNATIC,8,3,5,,BBL Esports,13,4,9,,1:16:23
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Fracture,FNATIC,13,8,5,,BBL Esports,8,4,4,,1:02:29
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FNATIC vs BBL Esports,Split,FNATIC,10,9,1,,BBL Esports,13,10,3,,1:01:55
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Haven,Team Vitality,13,8,5,,Karmine Corp,5,1,4,,50:28
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Bind,Team Vitality,9,5,4,,Karmine Corp,13,6,7,,53:35
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Vitality vs Karmine Corp,Abyss,Team Vitality,17,7,5,5,Karmine Corp,15,7,5,3,1:17:32
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Pearl,FUT Esports,13,9,4,,Team Liquid,7,4,3,,56:58
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,FUT Esports vs Team Liquid,Fracture,FUT Esports,13,9,4,,Team Liquid,6,3,3,,42:06
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Abyss,Team Heretics,4,3,1,,Gentle Mates,13,4,9,,49:12
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Fracture,Team Heretics,13,11,2,,Gentle Mates,3,2,1,,33:21
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Quarterfinals,Team Heretics vs Gentle Mates,Pearl,Team Heretics,13,9,4,,Gentle Mates,8,5,3,,46:40
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Bind,Karmine Corp,14,7,5,2,GIANTX,12,7,5,0,1:19:57
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Lotus,Karmine Corp,8,5,3,,GIANTX,13,6,7,,44:40
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs GIANTX,Fracture,Karmine Corp,10,4,6,,GIANTX,13,5,8,,51:41
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,FNATIC vs Natus Vincere,Pearl,FNATIC,13,9,4,,Natus Vincere,9,6,3,,1:05:22
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,FNATIC vs Natus Vincere,Fracture,FNATIC,8,6,2,,Natus Vincere,13,7,6,,53:16
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,FNATIC vs Natus Vincere,Haven,FNATIC,15,4,8,3,Natus Vincere,13,4,8,1,1:10:03
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Abyss,Team Liquid,13,6,7,,Apeks,9,3,6,,58:28
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Pearl,Team Liquid,11,3,8,,Apeks,13,4,9,,56:15
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Team Liquid vs Apeks,Haven,Team Liquid,13,9,4,,Apeks,6,3,3,,37:23
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Haven,Gentle Mates,13,10,3,,KOI,3,1,2,,44:42
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Lotus,Gentle Mates,7,3,4,,KOI,13,4,9,,45:07
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 1,Gentle Mates vs KOI,Pearl,Gentle Mates,13,8,5,,KOI,6,2,4,,40:22
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Semifinals,BBL Esports vs Team Heretics,Pearl,BBL Esports,11,7,4,,Team Heretics,13,8,5,,1:15:19
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Semifinals,BBL Esports vs Team Heretics,Lotus,BBL Esports,7,4,3,,Team Heretics,13,5,8,,44:49
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Semifinals,FUT Esports vs Team Vitality,Bind,FUT Esports,7,3,4,,Team Vitality,13,4,9,,1:01:52
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Semifinals,FUT Esports vs Team Vitality,Split,FUT Esports,4,1,3,,Team Vitality,13,2,11,,36:12
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 2,Gentle Mates vs FNATIC,Abyss,Gentle Mates,5,1,4,,FNATIC,13,2,11,,56:58
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 2,Gentle Mates vs FNATIC,Fracture,Gentle Mates,6,5,1,,FNATIC,13,6,7,,44:41
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 2,GIANTX vs Team Liquid,Fracture,GIANTX,8,4,4,,Team Liquid,13,5,8,,51:00
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 2,GIANTX vs Team Liquid,Split,GIANTX,6,4,2,,Team Liquid,13,5,8,,44:07
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 3,FUT Esports vs FNATIC,Abyss,FUT Esports,13,5,8,,FNATIC,10,3,7,,1:10:32
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 3,FUT Esports vs FNATIC,Fracture,FUT Esports,13,6,7,,FNATIC,6,0,6,,42:58
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 3,BBL Esports vs Team Liquid,Bind,BBL Esports,11,4,7,,Team Liquid,13,5,8,,1:02:57
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 3,BBL Esports vs Team Liquid,Pearl,BBL Esports,13,9,4,,Team Liquid,9,6,3,,56:12
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 3,BBL Esports vs Team Liquid,Split,BBL Esports,10,6,4,,Team Liquid,13,7,6,,47:17
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,Haven,Team Vitality,13,8,5,,Team Heretics,10,6,4,,1:05:29
Champions Tour 2025: EMEA Kickoff,Main Event,Upper Final,Team Vitality vs Team Heretics,Abyss,Team Vitality,13,11,2,,Team Heretics,1,0,1,,35:16
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Abyss,FUT Esports,7,4,3,,Team Liquid,13,5,8,,1:06:22
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Bind,FUT Esports,13,7,6,,Team Liquid,11,6,5,,55:54
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Round 4,FUT Esports vs Team Liquid,Haven,FUT Esports,4,4,0,,Team Liquid,13,5,8,,39:18
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Final,Team Heretics vs Team Liquid,Lotus,Team Heretics,4,3,1,,Team Liquid,13,4,9,,51:17
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Final,Team Heretics vs Team Liquid,Abyss,Team Heretics,4,4,0,,Team Liquid,13,5,8,,38:19
Champions Tour 2025: EMEA Kickoff,Main Event,Lower Final,Team Heretics vs Team Liquid,Fracture,Team Heretics,7,4,3,,Team Liquid,13,5,8,,41:51
Champions Tour 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Split,Team Vitality,10,3,7,,Team Liquid,13,4,9,,1:16:50
Champions Tour 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Haven,Team Vitality,7,3,4,,Team Liquid,13,4,9,,44:42
Champions Tour 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Lotus,Team Vitality,13,10,3,,Team Liquid,6,4,2,,40:16
Champions Tour 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Bind,Team Vitality,13,7,6,,Team Liquid,7,2,5,,46:10
Champions Tour 2025: EMEA Kickoff,Main Event,Grand Final,Team Vitality vs Team Liquid,Fracture,Team Vitality,13,8,5,,Team Liquid,8,4,4,,48:14
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,Pearl,BOOM Esports,11,7,4,,T1,13,8,5,,1:19:42
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,Bind,BOOM Esports,13,9,4,,T1,8,5,3,,45:08
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,BOOM Esports vs T1,Fracture,BOOM Esports,7,5,2,,T1,13,6,7,,39:44
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs Nongshim RedForce,Split,ZETA DIVISION,9,7,2,,Nongshim RedForce,13,8,5,,53:44
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs Nongshim RedForce,Haven,ZETA DIVISION,9,4,5,,Nongshim RedForce,13,5,8,,43:54
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,Abyss,Global Esports,3,3,0,,Team Secret,13,4,9,,51:17
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,Split,Global Esports,13,8,5,,Team Secret,7,3,4,,45:52
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,Global Esports vs Team Secret,Pearl,Global Esports,13,8,5,,Team Secret,6,2,4,,48:22
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,Abyss,DetonatioN FocusMe,14,6,6,2,Rex Regum Qeon,12,6,6,0,1:15:45
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,Pearl,DetonatioN FocusMe,3,1,2,,Rex Regum Qeon,13,2,11,,35:42
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Rex Regum Qeon,Haven,DetonatioN FocusMe,3,2,1,,Rex Regum Qeon,13,3,10,,37:48
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,Lotus,DRX,13,7,6,,Nongshim RedForce,11,6,5,,1:11:24
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,Pearl,DRX,6,4,2,,Nongshim RedForce,13,5,8,,45:26
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,DRX vs Nongshim RedForce,Fracture,DRX,13,6,7,,Nongshim RedForce,9,3,6,,48:44
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Bind,Paper Rex,6,3,3,,T1,13,4,9,,43:53
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Fracture,Paper Rex,13,5,8,,T1,8,1,7,,42:18
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Paper Rex vs T1,Split,Paper Rex,11,5,6,,T1,13,6,7,,53:11
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,TALON vs Global Esports,Split,TALON,6,2,4,,Global Esports,13,3,10,,54:35
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,TALON vs Global Esports,Abyss,TALON,13,6,7,,Global Esports,9,3,6,,51:05
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,TALON vs Global Esports,Lotus,TALON,13,7,6,,Global Esports,8,3,5,,51:39
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Gen.G vs Rex Regum Qeon,Fracture,Gen.G,6,1,5,,Rex Regum Qeon,13,2,11,,49:04
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Gen.G vs Rex Regum Qeon,Lotus,Gen.G,13,5,8,,Rex Regum Qeon,8,1,7,,51:22
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Quarterfinals,Gen.G vs Rex Regum Qeon,Haven,Gen.G,14,6,6,2,Rex Regum Qeon,12,6,6,0,1:05:05
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Nongshim RedForce vs BOOM Esports,Pearl,Nongshim RedForce,13,9,4,,BOOM Esports,3,0,3,,50:29
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Nongshim RedForce vs BOOM Esports,Bind,Nongshim RedForce,7,6,1,,BOOM Esports,13,7,6,,55:46
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Nongshim RedForce vs BOOM Esports,Lotus,Nongshim RedForce,13,6,7,,BOOM Esports,9,3,6,,52:11
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Paper Rex vs ZETA DIVISION,Lotus,Paper Rex,13,8,5,,ZETA DIVISION,5,1,4,,51:07
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Paper Rex vs ZETA DIVISION,Fracture,Paper Rex,13,6,7,,ZETA DIVISION,8,2,6,,45:05
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,Lotus,Rex Regum Qeon,9,4,5,,Team Secret,13,5,8,,1:09:49
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,Pearl,Rex Regum Qeon,13,11,2,,Team Secret,4,3,1,,50:02
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Rex Regum Qeon vs Team Secret,Haven,Rex Regum Qeon,13,8,5,,Team Secret,4,0,4,,41:34
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Global Esports vs DetonatioN FocusMe,Abyss,Global Esports,8,2,6,,DetonatioN FocusMe,13,3,10,,50:07
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 1,Global Esports vs DetonatioN FocusMe,Split,Global Esports,12,6,6,0,DetonatioN FocusMe,14,6,6,2,1:04:41
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Semifinals,T1 vs TALON,Fracture,T1,13,10,3,,TALON,5,3,2,,52:42
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Semifinals,T1 vs TALON,Bind,T1,4,3,1,,TALON,13,4,9,,34:07
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Semifinals,T1 vs TALON,Haven,T1,13,8,5,,TALON,9,5,4,,49:31
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Semifinals,Gen.G vs DRX,Abyss,Gen.G,9,3,6,,DRX,13,4,9,,59:49
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Semifinals,Gen.G vs DRX,Bind,Gen.G,13,5,7,1,DRX,15,5,7,3,1:03:54
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,Fracture,Nongshim RedForce,12,6,6,0,Rex Regum Qeon,14,6,6,2,1:13:25
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,Lotus,Nongshim RedForce,22,7,5,10,Rex Regum Qeon,20,7,5,8,1:32:19
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 2,Nongshim RedForce vs Rex Regum Qeon,Pearl,Nongshim RedForce,13,6,7,,Rex Regum Qeon,8,2,6,,52:15
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 2,DetonatioN FocusMe vs Paper Rex,Abyss,DetonatioN FocusMe,13,7,6,,Paper Rex,10,5,5,,58:57
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 2,DetonatioN FocusMe vs Paper Rex,Pearl,DetonatioN FocusMe,13,11,2,,Paper Rex,1,0,1,,34:24
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,Lotus,TALON,9,5,4,,Nongshim RedForce,13,6,7,,1:02:09
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,Bind,TALON,13,9,4,,Nongshim RedForce,10,7,3,,52:01
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 3,TALON vs Nongshim RedForce,Split,TALON,13,8,5,,Nongshim RedForce,5,1,4,,42:15
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 3,Gen.G vs DetonatioN FocusMe,Abyss,Gen.G,13,9,4,,DetonatioN FocusMe,6,3,3,,52:41
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 3,Gen.G vs DetonatioN FocusMe,Lotus,Gen.G,13,8,5,,DetonatioN FocusMe,6,2,4,,41:55
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,Lotus,T1,13,5,8,,DRX,11,4,7,,1:06:28
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,Haven,T1,13,5,7,1,DRX,15,5,7,3,59:21
Champions Tour 2025: Pacific Kickoff,Main Event,Upper Final,T1 vs DRX,Fracture,T1,10,4,6,,DRX,13,5,8,,50:27
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 4,TALON vs Gen.G,Bind,TALON,7,5,2,,Gen.G,13,6,7,,52:32
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Round 4,TALON vs Gen.G,Lotus,TALON,2,2,0,,Gen.G,13,3,10,,34:08
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Pearl,T1,13,8,5,,Gen.G,8,4,4,,1:07:45
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Lotus,T1,13,6,7,,Gen.G,8,2,6,,41:54
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Haven,T1,5,5,0,,Gen.G,13,6,7,,43:00
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Split,T1,15,9,3,3,Gen.G,17,9,3,5,1:14:51
Champions Tour 2025: Pacific Kickoff,Main Event,Lower Final,T1 vs Gen.G,Bind,T1,13,9,4,,Gen.G,10,7,3,,55:35
Champions Tour 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,Abyss,DRX,13,10,3,,T1,3,1,2,,1:00:22
Champions Tour 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,Lotus,DRX,6,5,1,,T1,13,6,7,,42:03
Champions Tour 2025: Pacific Kickoff,Main Event,Grand Final,DRX vs T1,Fracture,DRX,13,8,5,,T1,9,5,4,,49:54
